Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Woorijip Authentic Korean Food,ogCC-lJJYnwXDvKGmKZ6Sw,4.0,2441,1,New York,NY,10001,Korean
Vanessa's Dumpling House,IhSVn0TaX8xXb3wcQ-fgcA,4.0,2328,1,New York,NY,10002,Chinese
Peter Pan Donut & Pastry Shop,O0xFECgTDf1rbZzW9qUULQ,4.5,1156,1,Brooklyn,NY,11222,Bakeries
"Sal, Kris, & Charlie's Deli",uEjX8iic3W16rU3bRkCjyg,4.5,920,1,Astoria,NY,11105,Delis
Banh Mi Saigon,MDMw0HFK3rgeGRl-FZC9Fg,4.0,1358,1,New York,NY,10013,Vietnamese
Xi'an Famous Foods,Gd3_3mxOvj2xYiqysV8rbQ,4.0,1516,1,New York,NY,10003,Chinese
NY Pizza Suprema,-9NO2IDCJMyNGZMAQ1-VQw,4.0,1606,1,New York,NY,10001,Pizza
88 Lan Zhou Handmade Noodles,Lbs8QBRN1U7IYBo5Mcv-RQ,4.0,1522,1,New York,NY,10013,Chinese
Dough,ZMQzXIiqdBIuicFySTWGKg,4.0,1356,1,New York,NY,10011,Desserts
Schmackary's,jz_FnuRpCNzfwwHHQ6Nbeg,4.0,1696,1,New York,NY,10036,Desserts
Snowdays,7jXNphhpZZ2YE37E9jP60g,4.0,1087,1,New York,NY,10003,Shaved Ice
Bleecker Street Pizza,oJ_XSPZFpvIt6rvheSQl7A,4.0,1846,1,New York,NY,10014,Pizza
Crif Dogs,2n01u4yKfIrWuOzRVvIZmw,4.0,2020,1,New York,NY,10009,Hot Dogs
Num Pang Kitchen,-jYxfK6Q1k84uUCag83Fqg,4.0,1364,1,New York,NY,10003,Cambodian
Big Gay Ice Cream Shop,qZyHpLB9QVTWbHReujNfcg,4.0,1878,1,New York,NY,10009,Ice Cream & Frozen Yogurt
10Below Ice Cream,qfk_JyRqMmm6FDfoqN6GiA,4.0,1225,1,New York,NY,10013,Ice Cream & Frozen Yogurt
Brooklyn Bagel & Coffee Company,pb_ryc8FYHpUPV56eV2Eyg,4.0,1192,1,New York,NY,10001,Bagels
